,symbol,code,name,trade,pricechange,changepercent,buy,sell,settlement,open,high,low,volume,amount,ticktime,per,pb,mktcap,nmc,turnoverratio
0,sh600000,600000,浦发银行,10.43,0.0,0.0,10.43,10.44,10.43,10.42,10.47,10.38,24825285.0,259051575.0,15:00:00,5.548,0.579,30614286.621716,30614286.621716,0.08458
1,sh600004,600004,白云机场,12.93,-0.11,-0.844,12.93,12.94,13.04,13.02,13.06,12.79,10303861.0,132959931.0,15:00:23,26.938,1.669,3060166.739919,2675631.424602,0.49793
2,sh600006,600006,东风汽车,6.6,-0.14,-2.077,6.6,6.61,6.74,6.77,6.81,6.6,52169702.0,348149938.0,15:00:00,23.844,1.689,1320000.0,1320000.0,2.60849
3,sh600007,600007,中国国贸,12.63,0.11,0.879,12.63,12.64,12.52,12.52,12.66,12.47,1494700.0,18782251.0,15:00:00,15.402,1.588,1272197.840442,1272197.840442,0.14839
4,sh600008,600008,首创股份,2.98,-0.02,-0.667,2.97,2.98,3.0,3.0,3.0,2.96,35473311.0,105565286.0,15:00:23,12.36,1.372,2187496.021746,2187496.021746,0.48325
5,sh600009,600009,上海机场,56.36,0.01,0.018,56.36,56.37,56.35,56.17,56.48,55.6,12392124.0,694799499.0,15:00:23,-85.394,3.717,10860337.812928,6162832.973492,1.13328
6,sh600010,600010,包钢股份,1.56,-0.01,-0.637,1.56,1.57,1.57,1.57,1.58,1.55,528663424.0,824903379.0,15:00:00,130.0,1.345,7111265.093088,4941645.007572,1.66891
7,sh600011,600011,华能国际,4.07,-0.03,-0.732,4.06,4.07,4.1,4.09,4.1,4.04,21977608.0,89259431.0,15:00:00,22.611,0.872,6389123.997113,4476067.937033,0.19984
8,sh600012,600012,皖通高速,7.14,-0.03,-0.418,7.13,7.14,7.17,7.22,7.25,7.11,3797484.0,27168065.0,15:00:00,12.893,1.05,1184247.54,832238.4,0.3258
9,sh600015,600015,华夏银行,6.24,-0.01,-0.16,6.24,6.25,6.25,6.26,6.26,6.22,18718097.0,116749724.0,15:00:23,4.555,0.45,9601627.765392,8001356.471472,0.14598
10,sh600016,600016,民生银行,4.86,-0.01,-0.205,4.86,4.87,4.87,4.87,4.89,4.85,60252125.0,292963822.0,15:00:00,6.845,0.463,21278255.391972,17234591.881518,0.16991
11,sh600017,600017,日照港,2.76,-0.06,-2.128,2.75,2.76,2.82,2.81,2.82,2.75,18805800.0,52224649.0,15:00:00,13.143,0.681,848880.473088,848880.473088,0.61144
12,sh600018,600018,上港集团,4.52,-0.02,-0.441,4.51,4.52,4.54,4.54,4.58,4.5,22152959.0,100272935.0,15:00:00,12.608,1.197,10474500.9418,10474500.9418,0.0956
13,sh600019,600019,宝钢股份,8.64,0.35,4.222,8.64,8.65,8.29,8.27,8.74,8.22,205330275.0,1750740965.0,15:00:00,15.429,1.068,19240061.2848,19191473.369568,0.9244
14,sh600020,600020,中原高速,3.29,-0.03,-0.904,3.28,3.29,3.32,3.31,3.32,3.27,6648278.0,21865160.0,15:00:00,5.747,0.719,739385.332728,739385.332728,0.29582
15,sh600021,600021,上海电力,7.08,-0.08,-1.117,7.07,7.08,7.16,7.16,7.21,7.03,14409441.0,101968621.0,15:00:00,24.414,1.129,1852952.251476,1661850.38394,0.61389
16,sh600022,600022,山东钢铁,1.77,0.03,1.724,1.77,1.78,1.74,1.75,1.78,1.71,197017784.0,345551491.0,15:00:00,26.418,0.917,1937539.282032,1937539.282032,1.79982
17,sh600023,600023,浙能电力,3.67,-0.03,-0.811,3.67,3.68,3.7,3.69,3.71,3.67,17143205.0,63105908.0,15:00:00,11.469,0.756,4991453.225596,4991453.225596,0.12605
18,sh600025,600025,华能水电,5.7,-0.3,-5.0,5.69,5.7,6.0,5.85,5.86,5.48,118654211.0,669898968.0,15:00:00,21.111,2.09,10260000.0,10260000.0,0.65919
19,sh600026,600026,中远海能,6.29,-0.07,-1.101,6.28,6.29,6.36,6.37,6.37,6.25,12728336.0,79966272.0,15:00:00,12.143,0.865,2995733.195665,1802067.820752,0.44427
20,sh600027,600027,华电国际,3.42,-0.04,-1.156,3.42,3.43,3.46,3.45,3.46,3.4,21709701.0,74312228.0,15:00:00,10.364,0.711,3373138.015326,2785844.124126,0.26652
21,sh600028,600028,中国石化,4.23,-0.03,-0.704,4.22,4.23,4.26,4.26,4.26,4.21,96375165.0,407321999.0,15:00:00,15.551,0.69,51213121.680258,40420937.152458,0.10086
22,sh600029,600029,南方航空,6.55,-0.14,-2.093,6.55,6.56,6.69,6.66,6.72,6.47,72635558.0,477487297.0,15:00:00,-8.506,1.448,10040693.068725,5313045.882305,0.89546
23,sh600030,600030,中信证券,23.4,-0.08,-0.341,23.4,23.41,23.48,23.42,23.55,23.33,49375978.0,1155874943.0,15:00:00,20.172,1.665,30248655.90786,22966308.378,0.50308
24,sh600031,600031,三一重工,32.93,1.26,3.979,32.92,32.93,31.67,31.67,33.19,31.63,159071649.0,5202257924.0,15:00:23,17.9,4.936,27941834.040563,27941834.040563,1.87469
25,sh600033,600033,福建高速,2.66,-0.01,-0.375,2.65,2.66,2.67,2.68,2.68,2.65,2901401.0,7719037.0,15:00:00,8.82,0.755,730010.4,730010.4,0.10572
26,sh600035,600035,楚天高速,2.84,-0.03,-1.045,2.83,2.84,2.87,2.86,2.88,2.82,5395121.0,15306057.0,15:00:00,6.762,0.725,457272.915884,457272.915884,0.33508
27,sh600036,600036,招商银行,53.3,0.69,1.312,53.29,53.3,52.61,52.7,53.5,52.31,47104918.0,2495321515.0,15:00:00,14.063,2.102,134421777.05333,109952273.80657,0.22834
28,sh600037,600037,歌华有线,9.41,-0.14,-1.466,9.4,9.41,9.55,9.62,9.62,9.23,16652136.0,155494226.0,15:00:00,22.507,1.034,1309662.988844,1309662.988844,1.19647
29,sh600038,600038,中直股份,50.75,-0.12,-0.236,50.75,50.78,50.87,50.88,51.19,50.31,2253063.0,114242848.0,15:00:00,39.485,3.374,2991594.3337,2991594.3337,0.38221
30,sh600039,600039,四川路桥,6.8,0.18,2.719,6.79,6.8,6.62,6.68,6.83,6.61,34477882.0,232517843.0,15:00:00,8.669,1.437,3248747.79652,2455157.3468,0.95493
31,sh600048,600048,保利地产,14.12,-0.09,-0.633,14.11,14.12,14.21,14.16,14.19,13.96,66423963.0,932922953.0,15:00:00,5.835,1.056,16900924.522656,16900924.522656,0.55494
32,sh600050,600050,中国联通,4.19,-0.04,-0.946,4.19,4.2,4.23,4.22,4.23,4.18,53595307.0,225154900.0,15:00:00,23.539,0.87,12993966.527253,12886614.924828,0.17426
33,sh600051,600051,宁波联合,7.93,-0.07,-0.875,7.92,7.93,8.0,7.99,7.99,7.92,1726601.0,13713415.0,15:00:00,7.144,0.836,246527.84,246527.84,0.55539
34,sh600052,600052,浙江广厦,3.48,-0.1,-2.793,3.48,3.49,3.58,3.59,3.62,3.43,15379442.0,53617712.0,15:00:00,2.468,0.854,293779.769868,293779.769868,1.82179
35,sh600053,600053,九鼎投资,17.35,-0.35,-1.977,17.31,17.35,17.7,17.58,17.82,17.28,1548233.0,26947654.0,15:00:00,86.707,2.8,752193.288,752193.288,0.35711
36,sh600054,600054,黄山旅游,10.94,-0.18,-1.619,10.94,10.95,11.12,11.09,11.09,10.76,8075026.0,88035184.0,15:00:00,-182.333,1.872,797941.10736,561550.2,1.57316
37,sh600055,600055,万东医疗,13.07,0.02,0.153,13.07,13.08,13.05,13.01,13.2,12.97,4490772.0,58748665.0,15:00:00,41.757,3.198,706846.772093,706846.772093,0.83037
38,sh600056,600056,中国医药,13.02,-0.07,-0.535,13.02,13.03,13.09,13.07,13.09,12.91,5081137.0,65978497.0,15:00:00,14.177,1.4,1391168.165268,1390676.873796,0.47571
39,sh600057,600057,厦门象屿,6.66,-0.01,-0.15,6.66,6.67,6.67,6.68,6.78,6.57,16509706.0,110074031.0,15:00:00,12.379,1.272,1436864.42061,1423552.733622,0.7724
40,sh600058,600058,五矿发展,7.37,-0.13,-1.733,7.37,7.38,7.5,7.5,7.5,7.34,10040680.0,74151453.0,15:00:00,66.516,1.861,789998.194007,789998.194007,0.93671
41,sh600059,600059,古越龙山,12.43,-0.23,-1.817,12.43,12.44,12.66,12.78,12.9,12.32,28925435.0,362699172.0,15:00:00,47.808,2.397,1004995.537095,1004995.537095,3.57756
42,sh600060,600060,海信视像,11.98,0.16,1.354,11.98,11.99,11.82,11.85,11.98,11.74,9057037.0,107409270.0,15:00:00,28.188,1.048,1567560.503956,1567560.503956,0.69218
43,sh600061,600061,国投资本,12.97,0.01,0.077,12.97,12.98,12.96,12.88,13.06,12.85,10068750.0,130534951.0,15:00:00,13.371,1.293,5482613.987089,5482613.987089,0.23819
44,sh600062,600062,华润双鹤,11.87,0.02,0.169,11.87,11.88,11.85,11.86,11.95,11.74,3815976.0,45166338.0,15:00:00,12.32,1.332,1238323.16177,1238323.16177,0.36578
45,sh600063,600063,皖维高新,4.04,-0.08,-1.942,4.04,4.05,4.12,4.11,4.12,4.0,32235813.0,130341086.0,15:00:00,12.625,1.371,778061.455568,778061.455568,1.67381
46,sh600064,600064,南京高科,9.59,-0.11,-1.134,9.58,9.59,9.7,9.7,9.71,9.51,5436982.0,52178823.0,15:00:00,6.436,0.911,1185282.655592,1185282.655592,0.4399
47,sh600066,600066,宇通客车,14.24,0.02,0.141,14.24,14.25,14.22,14.25,14.3,14.01,18448096.0,260801336.0,15:00:23,67.81,2.056,3222414.061552,3152649.453552,0.83327
