,code
0,600497
1,600582
2,000060
3,300002
4,603077
5,600569
6,002263
7,000413
8,688538
9,000751
10,600255
11,600186
12,002342
13,300237
14,601005
15,002269
16,000630
17,300324
18,600331
19,601106
20,600252
21,300091
22,002662
23,002172
24,002510
25,600490
26,300459
27,300266
28,000908
29,300116
30,002506
31,601388
32,300276
33,601918
34,300297
35,002002
36,002622
37,600307
38,000040
39,000973
40,300094
41,002132
42,300159
43,000927
44,300301
45,300355
46,002160
47,002433
48,000982
49,002239
50,600010
51,300152
52,002630
53,000545
54,002418
55,300309
56,300117
57,300108
58,601068
59,300217
