,day,open,high,low,close,volume
0,2020-07-01 11:30:00,3.15,3.16,3.14,3.15,4629800
1,2020-07-01 14:00:00,3.15,3.15,3.1,3.12,5714746
2,2020-07-01 15:00:00,3.12,3.13,3.11,3.13,8715845
3,2020-07-02 10:30:00,3.14,3.2,3.12,3.16,16387400
4,2020-07-02 11:30:00,3.16,3.17,3.14,3.16,6701627
5,2020-07-02 14:00:00,3.15,3.18,3.15,3.17,9610804
6,2020-07-02 15:00:00,3.18,3.2,3.17,3.19,15568377
7,2020-07-03 10:30:00,3.2,3.28,3.19,3.25,27325889
8,2020-07-03 11:30:00,3.25,3.28,3.24,3.27,13412565
9,2020-07-03 14:00:00,3.26,3.31,3.25,3.29,13999300
10,2020-07-03 15:00:00,3.3,3.37,3.29,3.33,31947991
11,2020-07-06 10:30:00,3.35,3.46,3.35,3.41,45404183
12,2020-07-06 11:30:00,3.41,3.46,3.38,3.46,15433528
13,2020-07-06 14:00:00,3.46,3.51,3.44,3.44,18138531
14,2020-07-06 15:00:00,3.45,3.5,3.44,3.48,16211224
15,2020-07-07 10:30:00,3.5,3.65,3.49,3.52,44602267
16,2020-07-07 11:30:00,3.52,3.55,3.51,3.55,12364601
17,2020-07-07 14:00:00,3.55,3.58,3.48,3.49,24480498
18,2020-07-07 15:00:00,3.5,3.51,3.39,3.4,36667929
19,2020-07-08 10:30:00,3.43,3.57,3.42,3.48,42566041
20,2020-07-08 11:30:00,3.48,3.53,3.47,3.48,15045901
21,2020-07-08 14:00:00,3.48,3.53,3.48,3.5,12135468
22,2020-07-08 15:00:00,3.51,3.59,3.5,3.55,25706822
23,2020-07-09 10:30:00,3.56,3.63,3.48,3.52,36151377
24,2020-07-09 11:30:00,3.51,3.58,3.48,3.58,15033809
25,2020-07-09 14:00:00,3.58,3.64,3.56,3.6,19884033
26,2020-07-09 15:00:00,3.6,3.62,3.52,3.61,20498422
27,2020-07-10 10:30:00,3.58,3.64,3.54,3.6,26674837
28,2020-07-10 11:30:00,3.6,3.61,3.53,3.56,15935861
29,2020-07-10 14:00:00,3.57,3.58,3.54,3.55,10591217
30,2020-07-10 15:00:00,3.55,3.57,3.47,3.5,21495031
31,2020-07-13 10:30:00,3.5,3.62,3.46,3.6,34537064
32,2020-07-13 11:30:00,3.59,3.76,3.59,3.75,31222261
33,2020-07-13 14:00:00,3.74,3.77,3.68,3.7,17460300
