up,down,total,up10,down10,ROC
38,43,93,32.9,54.5,37.64302059496568
50,31,94,34.8,52.6,39.816933638443935
14,76,93,34.5,52.8,39.518900343642606
26,56,93,36.1,50.1,41.87935034802785
78,12,94,38.7,48.0,44.63667820069204
91,3,94,45.1,42.3,51.601830663615566
29,57,94,46.1,40.8,53.04948216340621
73,14,95,51.7,34.9,59.699769053117784
23,68,95,50.6,36.9,57.82857142857143
46,39,94,46.8,39.9,53.97923875432525
48,39,94,47.8,39.5,54.75372279495991
21,72,95,44.9,43.6,50.73446327683616
68,22,95,50.3,38.2,56.83615819209039
94,1,95,57.1,32.7,63.58574610244988
61,26,94,55.4,34.1,61.89944134078212
57,26,94,52.0,36.4,58.82352941176471
25,67,94,51.6,37.4,57.97752808988764
81,8,94,52.4,36.8,58.74439461883408
74,15,94,57.5,31.5,64.6067415730337
18,73,93,54.7,34.9,61.049107142857146
67,24,93,56.6,33.4,62.88888888888889
36,56,93,58.1,31.8,64.62736373748609
16,74,93,52.9,37.0,58.843159065628484
22,69,93,45.7,43.8,51.061452513966486
4,89,93,40.0,50.1,44.39511653718091
54,36,93,39.7,51.1,43.72246696035243
31,57,93,40.3,50.1,44.57964601769911
70,20,93,39.2,51.3,43.31491712707182
79,11,92,39.7,50.9,43.81898454746137
38,50,93,41.7,48.6,46.179401993355484
24,60,93,37.4,52.2,41.74107142857142
41,41,93,37.9,50.7,42.776523702031604
36,50,93,39.9,48.3,45.23809523809524
1,91,93,37.8,50.5,42.80860702151755
53,33,93,42.7,44.9,48.74429223744292
40,44,93,41.3,45.7,47.47126436781609
76,11,93,45.8,41.1,52.7042577675489
19,70,93,40.7,46.1,46.88940092165899
85,4,92,41.3,45.4,47.63552479815455
49,33,94,42.4,43.7,49.24506387921022
32,49,94,43.2,42.6,50.34965034965035
13,76,93,40.4,46.1,46.70520231213873
91,1,93,45.9,41.2,52.698048220436284
80,10,94,53.8,33.1,61.9102416570771
43,39,94,52.8,33.7,61.040462427745666
30,61,95,51.8,35.4,59.403669724770644
23,66,95,46.5,40.9,53.203661327231124
36,55,95,48.2,39.4,55.02283105022831
28,62,94,42.5,45.2,48.46066134549601
80,8,95,45.6,42.7,51.64212910532276
52,31,95,47.6,40.9,53.78531073446327
19,67,95,48.2,40.0,54.64852607709751
78,8,95,46.9,40.7,53.538812785388124
86,5,94,47.5,40.2,54.16191562143671
56,31,94,48.8,39.4,55.32879818594104
56,30,93,51.4,36.3,58.608893956670464
31,56,93,52.2,35.3,59.65714285714286
58,33,93,54.4,33.1,62.171428571428564
15,73,92,53.1,34.2,60.824742268041234
46,37,92,49.7,37.1,57.25806451612903
28,54,93,47.3,39.4,54.55594002306805
44,41,93,49.8,36.8,57.50577367205543
9,84,93,42.9,44.4,49.14089347079038
39,44,93,38.2,48.3,44.161849710982665
36,49,93,36.2,50.1,41.94669756662804
19,67,93,32.5,53.8,37.65932792584009
12,80,93,30.6,56.2,35.253456221198164
9,81,91,25.7,61.0,29.642445213379474
71,16,91,31.3,55.3,36.1431870669746
53,33,92,32.0,54.9,36.82393555811277
60,27,92,35.2,52.2,40.274599542334094
46,36,93,35.4,51.7,40.64293915040184
9,81,93,35.4,51.4,40.78341013824885
56,20,93,37.1,49.0,43.08943089430894
29,53,94,36.4,49.4,42.42424242424243
90,4,94,43.5,43.1,50.23094688221708
32,52,95,45.5,40.3,53.03030303030303
